clusters,wcss
0, 0
1, 14155
2, 2
3, 3
4, 15170
5, 5
6, 6
7, 7
8, 8
9, 9
10, 10
11, 11
12, 12
13, 13
14, 14
15, 15
16, 16
17, 1000
18, 6677
19, 19
20, 11539
21, 2077
22, 22
23, 15063
24, 24
25, 25
26, 26
27, 27
28, 28
29, 2279
30, 30
31, 31
32, 32
33, 33
34, 34
35, 35
36, 36
37, 37
38, 38
39, 39
40, 40
41, 41
42, 42
43, 43
44, 44
45, 15623
46, 46
47, 11384
48, 48
49, 49
50, 50
51, 6097
52, 5458
53, 5683
54, 54
55, 13565
56, 13359
57, 57
58, 58
59, 59
60, 60
61, 61
62, 62
63, 63
64, 64
65, 65
66, 3514
67, 67
68, 68
69, 69
70, 70
71, 1763
72, 72
73, 8359
74, 74
75, 15619
76, 76
77, 9131
78, 13575
79, 79
80, 80
81, 81
82, 82
83, 83
84, 8394
85, 85
86, 86
87, 87
88, 88
89, 89
90, 90
91, 91
92, 4558
93, 93
94, 14370
95, 95
96, 96
97, 97
98, 98
99, 6802
100, 100
101, 101
102, 12624
103, 103
104, 104
105, 105
106, 106
107, 107
108, 108
109, 9651
110, 2826
111, 111
112, 112
113, 113
114, 114
115, 115
116, 116
117, 117
118, 118
119, 119
120, 120
121, 121
122, 5265
123, 123
124, 124
125, 2127
126, 126
127, 127
128, 7752
129, 3513
130, 130
131, 131
132, 132
133, 133
134, 1888
135, 2724
136, 136
137, 137
138, 138
139, 139
140, 140
141, 141
142, 4715
143, 1961
144, 4554
145, 145
146, 146
147, 147
148, 148
149, 3169
150, 150
151, 151
152, 152
153, 153
154, 154
155, 155
156, 156
157, 1629
158, 158
159, 442
160, 160
161, 161
162, 162
163, 163
164, 164
165, 4569
166, 166
167, 167
168, 168
169, 169
170, 170
171, 171
172, 172
173, 173
174, 8947
175, 175
176, 1961
177, 177
178, 178
179, 179
180, 180
181, 181
182, 182
183, 183
184, 1130
185, 185
186, 1879
187, 187
188, 13279
189, 1184
190, 1130
191, 191
192, 192
193, 193
194, 194
195, 195
196, 196
197, 14395
198, 2080
199, 195
200, 200
201, 201
202, 202
203, 1641
204, 204
205, 205
206, 206
207, 207
208, 12927
209, 146
210, 2090
211, 211
212, 212
213, 213
214, 214
215, 215
216, 1527
217, 217
218, 218
219, 219
220, 220
221, 221
222, 222
223, 223
224, 224
225, 225
226, 226
227, 227
228, 2740
229, 229
230, 230
231, 231
232, 14336
233, 233
234, 12882
235, 7475
236, 15975
237, 237
238, 238
239, 239
240, 240
241, 241
242, 242
243, 264
244, 244
245, 245
246, 246
247, 247
248, 248
249, 14508
250, 2738
251, 251
252, 252
253, 253
254, 254
255, 255
256, 256
257, 257
258, 258
259, 3735
260, 260
261, 261
262, 262
263, 263
264, 264
265, 265
266, 266
267, 267
268, 14942
269, 269
270, 270
271, 271
272, 272
273, 273
274, 274
275, 4545
276, 276
277, 1181
278, 278
279, 279
280, 280
281, 281
282, 282
283, 283
284, 284
285, 285
286, 286
287, 287
288, 288
289, 289
290, 290
291, 291
292, 3550
293, 711
294, 294
295, 6425
296, 296
297, 297
298, 298
299, 299
300, 300
301, 301
302, 14995
303, 303
304, 6294
305, 1178
306, 7861
307, 307
308, 308
309, 775
310, 310
311, 311
312, 14572
313, 9527
314, 13886
315, 315
316, 316
317, 317
318, 318
319, 319
320, 320
321, 321
322, 322
323, 323
324, 324
325, 7227
326, 326
327, 327
328, 328
329, 2055
330, 330
331, 331
332, 332
333, 333
334, 334
335, 335
336, 336
337, 337
338, 338
339, 10169
340, 13381
341, 341
342, 3834
343, 2377
344, 10632
345, 345
346, 346
347, 347
348, 506
349, 15143
350, 350
351, 351
352, 352
353, 353
354, 354
355, 355
356, 356
357, 357
358, 358
359, 359
360, 360
361, 361
362, 362
363, 363
364, 364
365, 2697
366, 14381
367, 367
368, 368
369, 13471
370, 370
371, 8870
372, 372
373, 13412
374, 374
375, 375
376, 11521
377, 377
378, 378
379, 8746
380, 380
381, 12479
382, 382
383, 719
384, 384
385, 385
386, 386
387, 387
388, 388
389, 389
390, 13641
391, 391
392, 392
393, 393
394, 394
395, 395
396, 396
397, 397
398, 10852
399, 399
400, 400
401, 401
402, 402
403, 14982
404, 404
405, 405
406, 406
407, 407
408, 10097
409, 13813
410, 13841
411, 10206
412, 412
413, 413
414, 5831
415, 415
416, 416
417, 417
418, 418
419, 419
420, 420
421, 421
422, 422
423, 13428
424, 9111
425, 425
426, 426
427, 427
428, 428
429, 429
430, 430
431, 431
432, 432
433, 433
434, 434
435, 435
436, 436
437, 437
438, 13319
439, 4803
440, 440
441, 441
442, 442
443, 443
444, 444
445, 445
446, 446
447, 447
448, 448
449, 449
450, 2528
451, 451
452, 14781
453, 453
454, 454
455, 455
456, 456
457, 457
458, 458
459, 459
460, 460
461, 8857
462, 11358
463, 463
464, 464
465, 465
466, 421
467, 467
468, 468
469, 5629
470, 470
471, 471
472, 14003
473, 473
474, 474
475, 475
476, 476
477, 477
478, 478
479, 479
480, 480
481, 481
482, 482
483, 483
484, 484
485, 5349
486, 6761
487, 487
488, 488
489, 489
490, 490
491, 491
492, 492
493, 493
494, 10839
495, 495
496, 496
497, 1061
